gene_id	sample_A	sample_B	sample_C	sample_D	sample_E	sample_F
ENSMUSG00000000738	805	972	1404	1741	1347	1326
ENSMUSG00000000739	12	4	17	7	16	16
ENSMUSG00000000740	7831	12350	17583	26725	15245	20319
ENSMUSG00000000743	1221	1443	1886	2714	1627	2167
ENSMUSG00000000751	4093	5895	7939	9171	7977	9326
ENSMUSG00000000753	18	4	6	61	3	1
ENSMUSG00000000759	1395	1229	1686	4044	1999	3100
ENSMUSG00000000766	0	0	0	0	0	0
ENSMUSG00000000776	131	89	102	449	104	106
ENSMUSG00000000782	6	0	0	21	0	0
ENSMUSG00000000787	4669	4719	6251	11606	6270	6105
ENSMUSG00000000791	1	0	0	5	0	0
ENSMUSG00000000792	2	1	3	8	3	2
ENSMUSG00000000794	0	0	0	0	1	0
ENSMUSG00000000804	15986	14022	18985	19121	17214	15410
ENSMUSG00000000805	0	0	0	0	0	0
ENSMUSG00000000811	35	3	2	107	7	4
ENSMUSG00000000817	2	1	0	8	2	3
ENSMUSG00000000823	74	11	24	192	38	47
ENSMUSG00000000826	1196	1333	1812	2775	1892	2399
ENSMUSG00000000827	897	843	1144	1927	1208	1722
ENSMUSG00000000838	1442	1470	2176	3202	1819	2218
ENSMUSG00000000861	945	1000	1123	2681	1919	3330
ENSMUSG00000000869	10	2	2	26	2	6
ENSMUSG00000000876	447	595	889	987	776	1080
ENSMUSG00000000881	13	0	4	37	7	6
ENSMUSG00000000884	89	67	131	223	110	130
ENSMUSG00000000889	0	0	0	1	0	0
ENSMUSG00000000901	0	0	1	1	0	0
ENSMUSG00000000902	936	1147	1592	2026	1472	2021
ENSMUSG00000000903	7	1	2	0	1	0
ENSMUSG00000000915	117	89	78	251	136	196
ENSMUSG00000000916	153	147	155	459	143	211
ENSMUSG00000000934	35	6	4	83	17	18
ENSMUSG00000000938	0	0	0	0	0	0
ENSMUSG00000000942	0	0	2	0	0	0
ENSMUSG00000000948	4	0	1	66	2	11
ENSMUSG00000000957	22	1	6	35	1	0
ENSMUSG00000000958	19	6	10	73	28	125
ENSMUSG00000000959	306	296	371	752	364	503
ENSMUSG00000000976	176	173	200	422	242	253
ENSMUSG00000000982	10	0	0	4	0	0
ENSMUSG00000000983	0	0	0	0	0	0
ENSMUSG00000001014	5174	7690	10800	10276	9388	13326
ENSMUSG00000001016	893	1025	1345	2592	1331	1809
ENSMUSG00000001017	1836	2104	2859	5108	2773	3665
ENSMUSG00000001018	106	68	94	237	99	146
ENSMUSG00000001020	1	0	0	2	0	0
ENSMUSG00000001021	0	0	0	0	0	0
ENSMUSG00000001023	0	0	0	0	0	0
ENSMUSG00000001025	6	0	1	1	1	1
ENSMUSG00000001027	2	0	0	0	0	0
ENSMUSG00000001029	25	0	4	20	3	2
ENSMUSG00000001034	122	126	161	266	152	268
ENSMUSG00000001036	9	1	6	26	8	6
ENSMUSG00000001039	5	7	3	13	2	4
ENSMUSG00000001052	420	509	628	992	640	568
ENSMUSG00000001053	4	1	1	3	0	0
ENSMUSG00000001054	205	233	332	614	295	339
ENSMUSG00000001056	617	753	835	2051	751	692
ENSMUSG00000001062	80	74	73	233	117	191
ENSMUSG00000001065	276	200	315	658	347	490
ENSMUSG00000001076	0	0	0	0	0	0
ENSMUSG00000001082	369	280	370	1086	503	843
ENSMUSG00000001089	53	83	109	186	124	81
ENSMUSG00000001095	0	0	0	0	0	0
ENSMUSG00000001098	219	199	223	490	254	283
ENSMUSG00000001100	348	227	368	1018	348	408
ENSMUSG00000001103	0	0	0	0	0	0
ENSMUSG00000001105	619	640	1033	1508	855	1134
ENSMUSG00000001119	1	0	0	1	0	1
ENSMUSG00000001120	39	21	18	63	33	93
ENSMUSG00000001123	129	6	41	97	25	49
ENSMUSG00000001127	529	519	696	1511	691	972
ENSMUSG00000001128	41	10	17	22	19	13
ENSMUSG00000001131	0	0	0	1	1	1
ENSMUSG00000001134	274	339	435	703	388	681
ENSMUSG00000001138	333	295	431	598	467	770
ENSMUSG00000001143	199	228	323	469	330	487
ENSMUSG00000001150	1165	1255	1705	2387	1674	1692
ENSMUSG00000001151	1658	1784	2541	3439	2638	3065
ENSMUSG00000001155	7	0	0	8	0	1
ENSMUSG00000001156	9891	7286	10491	9736	9503	9744
ENSMUSG00000001157	145	251	290	417	275	368
ENSMUSG00000001158	569	618	940	1489	806	1089
ENSMUSG00000001166	6	0	5	0	3	4
ENSMUSG00000001168	0	0	0	0	0	0
ENSMUSG00000001173	82	47	64	158	70	83
ENSMUSG00000001175	3197	4452	5776	7418	4818	5278
ENSMUSG00000001211	76	88	104	170	101	119
ENSMUSG00000001225	0	0	0	0	0	0
ENSMUSG00000001227	16	0	3	8	2	1
ENSMUSG00000001228	8129	11162	15286	15998	14884	19536
ENSMUSG00000001229	671	868	1129	1381	1099	1246
ENSMUSG00000001240	1	0	0	10	0	4
ENSMUSG00000001247	4	1	0	16	0	2
ENSMUSG00000001248	70	1	3	110	11	15
ENSMUSG00000001249	11	1	0	17	0	0
ENSMUSG00000001260	0	0	0	0	0	0
ENSMUSG00000001270	23	0	4	22	3	3
ENSMUSG00000001280	1500	2356	3006	3783	3124	4292
ENSMUSG00000001281	163	278	396	1169	586	1102
ENSMUSG00000001285	349	471	693	904	586	847
ENSMUSG00000001288	7	1	0	8	2	0
ENSMUSG00000001289	811	1042	1376	1994	1137	1618
ENSMUSG00000001300	6	2	0	15	5	4
ENSMUSG00000001305	203	66	72	473	88	112
ENSMUSG00000001313	15	7	8	34	8	0
ENSMUSG00000001323	83	81	140	201	147	193
ENSMUSG00000001333	0	0	2	3	1	0
ENSMUSG00000001334	25	29	25	20	27	53
ENSMUSG00000001348	4078	4942	6638	11516	7500	12211
ENSMUSG00000001349	2	0	0	2	2	1
ENSMUSG00000001366	6004	4117	6042	7951	5878	6039
ENSMUSG00000001376	192	162	277	476	183	256
ENSMUSG00000001380	3155	4297	6208	7570	5543	6142
ENSMUSG00000001383	1809	1858	2620	3983	2484	2892
ENSMUSG00000001403	15441	20210	31093	23633	24873	27837
ENSMUSG00000001415	4146	4414	6417	8428	5887	6800
ENSMUSG00000001416	2977	3221	4455	7550	3436	3232
ENSMUSG00000001418	404	446	568	1019	686	856
ENSMUSG00000001419	429	352	488	1416	517	532
ENSMUSG00000001420	28	29	49	56	55	32
