"id","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","call"
"ENSMUSG00000000001","Gnai3",1489.83039473812,0.297760423044452,0.210310217885146,1.41581529437178,0.156829590430068,0.868572911321985,"NS"
"ENSMUSG00000000028","Cdc45",1748.93543947799,0.226420837859905,0.176795340020102,1.28069460334283,0.20030095606799,0.902899695304443,"NS"
"ENSMUSG00000000031","H19",2151.87714834971,0.457634917596047,0.764579007272259,0.598544968202466,0.549476363352212,0.995391081072774,"NS"
"ENSMUSG00000000037","Scml2",24.9167228731647,0.579129741976335,0.561259390831875,1.03183973655741,0.302147200814603,0.950613375963914,"NS"
"ENSMUSG00000000049","Apoh",7.78376614806552,-0.899482797855228,1.55306252369388,-0.579167151439503,0.56247639306633,0.998042503886626,"NS"
"ENSMUSG00000000056","Narf",19653.5403039854,-0.174047786323151,0.203528784609034,-0.855150718152645,0.392467714803188,0.982478969466479,"NS"
"ENSMUSG00000000078","Klf6",951.442013560945,-0.144892497817174,0.222293994162302,-0.651805724051116,0.514526508574562,0.991876115565734,"NS"
"ENSMUSG00000000085","Scmh1",726.615690007386,0.26537288564096,0.275371114386253,0.963691802723835,0.335200465301704,0.965925281912974,"NS"
"ENSMUSG00000000088","Cox5a",1427.12062687741,-0.271588135500739,0.211612118632217,-1.28342430129326,0.199343464544037,0.902886600484461,"NS"
"ENSMUSG00000000093","Tbx2",15.2424714130254,0.54208538576911,0.68749492886832,0.788493649926164,0.430408011472269,0.985282955945107,"NS"
"ENSMUSG00000000127","Fer",234.458035237594,0.297712280709529,0.264114374687446,1.12720968353897,0.259653837244148,0.930264338818695,"NS"
"ENSMUSG00000000131","Xpo6",1129.82663069603,0.0492971289948568,0.135535787797688,0.363720385559286,0.716066819053794,0.998143876879503,"NS"
"ENSMUSG00000000134","Tfe3",661.986340921115,-0.215320770773031,0.183834810795726,-1.1712731111209,0.241489015964327,0.919785775991833,"NS"
"ENSMUSG00000000142","Axin2",10.4881184455816,2.71369319907479,2.68523344040483,1.01059861621031,NA,NA,"NS"
"ENSMUSG00000000148","Brat1",102.857266985302,0.00606735277843655,0.367419723833507,0.0165134106441872,0.986824803400251,0.999945054021956,"NS"
"ENSMUSG00000000149","Gna12",748.403065523364,-0.132995649698043,0.150950068534486,-0.881057232959512,0.378286843365581,0.978655539135607,"NS"
"ENSMUSG00000000167","Pih1d2",12.1768995839951,-0.838976938881396,0.981765469505556,-0.854559428846003,0.392795096075896,0.982478969466479,"NS"
"ENSMUSG00000000168","Dlat",745.508234840732,0.0480082402659473,0.170813921567717,0.28105578178483,0.77866761568245,0.998143876879503,"NS"
"ENSMUSG00000000171","Sdhd",1758.1317542469,0.12347962968296,0.174845952746215,0.706219547799244,0.480051615814828,0.986031773058721,"NS"
"ENSMUSG00000000184","Ccnd2",374.288253803073,0.280666479014873,0.432414753917393,0.649067767628693,0.51629457458171,0.991876115565734,"NS"
"ENSMUSG00000000194","Gpr107",547.827351900721,0.0786129169089659,0.154966191413906,0.507290759305009,0.611950821380001,0.998143876879503,"NS"
"ENSMUSG00000000223","Drp2",47.5228514553333,0.564490685104575,0.445693013149532,1.2665459597752,0.205317685852197,0.907948641323831,"NS"
"ENSMUSG00000000244","Tspan32",4507.12803532432,-0.22328416242667,0.134603956121544,-1.65882317920173,0.0971514281327736,0.774815934661304,"NS"
"ENSMUSG00000000253","Gmpr",21487.9115917006,-0.48486112009512,0.233219891411815,-2.0789869901747,0.0376185462536962,0.588044765902671,"NS"
"ENSMUSG00000000275","Trim25",1661.78688906235,-0.673158203636838,0.213788391859685,-3.14871260212598,0.00163991387632232,0.163938487184609,"NS"
"ENSMUSG00000000276","Dgke",25.6586736198746,0.299922338641753,0.75770720243143,0.395828807855228,0.692231323307957,0.998143876879503,"NS"
"ENSMUSG00000000278","Scpep1",160.306854072715,0.0852592327353323,0.289216714783721,0.294793586875122,0.768151565784901,0.998143876879503,"NS"
"ENSMUSG00000000282","Mnt",354.166374693445,-0.193459304933696,0.174417527569247,-1.1091735310655,0.267355328807133,0.935245481669238,"NS"
"ENSMUSG00000000290","Itgb2",22.9099450892702,-0.645141854430649,1.0740109354902,-0.600684623510087,0.548050062439683,0.995391081072774,"NS"
"ENSMUSG00000000295","Hddc2",85.2636620444616,-0.0835565168002223,0.433893700543821,-0.192573703410528,0.847292841054688,0.998143876879503,"NS"
"ENSMUSG00000000296","Tpd52l1",5.58630276198622,0.555719820691553,1.1844347151002,0.469185691373914,0.638936912174104,NA,"NS"
"ENSMUSG00000000301","Pemt",26.4630820751376,0.30017402858223,0.490143980742216,0.612420105879259,0.540259842693638,0.995391081072774,"NS"
"ENSMUSG00000000303","Cdh1",5.0724859610514,-1.46669449136779,1.59362666366993,-0.920350120140543,0.357389825503472,NA,"NS"
"ENSMUSG00000000317","Bcl6b",38.2570364621245,-0.353958410169224,0.464119980689521,-0.762644197397761,0.445675618509765,0.986031773058721,"NS"
"ENSMUSG00000000320","Alox12",5.58088202138381,0.136726230138084,1.4189855784884,0.0963549117135732,0.923238700679858,NA,"NS"
"ENSMUSG00000000325",NA,236.800703576823,0.737283897798454,0.269853886622389,2.73215964026543,0.00629206452499308,0.305684168764362,"NS"
"ENSMUSG00000000326","Comt",3098.01184730399,0.101653397518488,0.192700716868345,0.52751956074942,0.597832836403123,0.998143876879503,"NS"
"ENSMUSG00000000339","Rtca",533.736161339432,-0.103021754817584,0.234200969508419,-0.439886115902181,0.660019592196354,0.998143876879503,"NS"
